region,year,month,variable,value
LIMA,2000,Jan,tmmx,25.97759162
LIMA,2000,Feb,pr,95.8018176
LIMA,2000,Feb,tmmx,27.54596223
LIMA,2000,Mar,pr,0.0139273
LIMA,2000,Mar,tmmx,27.382602090000002
LIMA,2000,Apr,pr,1.650102
LIMA,2000,Apr,tmmx,26.12994698
LIMA,2000,May,pr,0.2002242
LIMA,2000,May,tmmx,22.85367828
LIMA,2000,Jun,pr,0.1788815
LIMA,2000,Jun,tmmx,20.734090260000002
LIMA,2000,Jul,pr,0.5498752
LIMA,2000,Jul,tmmx,20.146761480000002
LIMA,2000,Aug,pr,0.3986133
LIMA,2000,Aug,tmmx,20.40810132
LIMA,2000,Sep,pr,0.1343961
LIMA,2000,Sep,tmmx,20.849355790000004
LIMA,2000,Oct,pr,0.9410463
LIMA,2000,Oct,tmmx,22.572328380000002
LIMA,2000,Nov,pr,0.124853
LIMA,2000,Nov,tmmx,23.26676377
LIMA,2000,Dec,pr,0
LIMA,2000,Dec,tmmx,25.392987220000002
LIMA,2001,Jan,pr,0.3481999
LIMA,2001,Jan,tmmx,26.484907240000002
LIMA,2001,Feb,pr,5.0629836
LIMA,2001,Feb,tmmx,28.02613298
LIMA,2001,Mar,pr,91.5232046
LIMA,2001,Mar,tmmx,28.175215320000003
LIMA,2001,Apr,pr,1.2593538
LIMA,2001,Apr,tmmx,26.27385467
LIMA,2001,May,pr,0
LIMA,2001,May,tmmx,22.60763014
LIMA,2001,Jun,pr,0
LIMA,2001,Jun,tmmx,20.45393186
LIMA,2001,Jul,pr,0.8511786
LIMA,2001,Jul,tmmx,20.1091747
LIMA,2001,Aug,pr,0
LIMA,2001,Aug,tmmx,19.695055980000003
LIMA,2001,Sep,pr,0
LIMA,2001,Sep,tmmx,20.31869305
LIMA,2001,Oct,pr,0
LIMA,2001,Oct,tmmx,22.45691613
LIMA,2001,Nov,pr,0.3939096
LIMA,2001,Nov,tmmx,23.40648831
LIMA,2001,Dec,pr,0
LIMA,2001,Dec,tmmx,25.351924320000002
LIMA,2002,Jan,pr,0.0769257
LIMA,2002,Jan,tmmx,26.86631729
LIMA,2002,Feb,pr,63.9328281
LIMA,2002,Feb,tmmx,28.196918950000004
LIMA,2002,Mar,pr,9.4769525
LIMA,2002,Mar,tmmx,28.74192472
LIMA,2002,Apr,pr,1.7541708
LIMA,2002,Apr,tmmx,26.354810049999998
LIMA,2002,May,pr,0
LIMA,2002,May,tmmx,23.88048809
LIMA,2002,Jun,pr,2.091704
LIMA,2002,Jun,tmmx,21.2451035
LIMA,2002,Jul,pr,0
LIMA,2002,Jul,tmmx,20.280910950000003
LIMA,2002,Aug,pr,0
LIMA,2002,Aug,tmmx,19.960408490000003
LIMA,2002,Sep,pr,0
LIMA,2002,Sep,tmmx,20.873646070000003
LIMA,2002,Oct,pr,0
LIMA,2002,Oct,tmmx,22.414753400000002
LIMA,2002,Nov,pr,0.4222676
LIMA,2002,Nov,tmmx,23.500763820000003
LIMA,2002,Dec,pr,0
LIMA,2002,Dec,tmmx,25.837272000000002
LIMA,2003,Jan,pr,4.3366848
LIMA,2003,Jan,tmmx,27.193853330000003
LIMA,2003,Feb,pr,7.5037654
LIMA,2003,Feb,tmmx,27.760556020000003
LIMA,2003,Mar,pr,8.2689988
LIMA,2003,Mar,tmmx,27.46186203
LIMA,2003,Apr,pr,1.0207265
LIMA,2003,Apr,tmmx,25.84991771
LIMA,2003,May,pr,0.2286278
LIMA,2003,May,tmmx,23.095831340000004
LIMA,2003,Jun,pr,0.4763471
LIMA,2003,Jun,tmmx,20.491122240000003
LIMA,2003,Jul,pr,0.651733
LIMA,2003,Jul,tmmx,19.72667758
LIMA,2003,Aug,pr,1.6754866
LIMA,2003,Aug,tmmx,19.97895106
LIMA,2003,Sep,pr,0.9959997
LIMA,2003,Sep,tmmx,20.53497342
